imdb_id,runtime,budget,popularity,revenue,award_winning_actor,week_number,year,cpi,genre_18,genre_35,genre_53,genre_28,genre_10749,genre_80,genre_12,genre_27,genre_878,genre_14,genre_10751,genre_9648,genre_36,genre_16,genre_10752,genre_10402,genre_99,genre_37
tt2637294,93,36000000.0,17.651,64780213,6.0,8,2015,237.017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0368933,113,40000000.0,38.6,134734481,7.0,32,2004,188.9,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
tt2582802,107,3300000.0,112.735,13092000,3.0,41,2014,236.736,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt1821480,122,1200000.0,7.955,16000000,0.0,10,2012,229.594,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tt1380152,118,17250000.0,5.219,3923970,0.0,6,2009,214.537,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0093743,83,8000000.0,6.637,3261638,4.0,32,1987,113.6,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
tt0431021,92,14000000.0,23.481,85400000,2.0,35,2012,229.594,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt0391024,84,20000000.0,7.668,2586511,0.0,3,2004,188.9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
tt0117110,100,31000000.0,13.387,34300000,1.0,7,1996,156.9,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False
tt0310281,91,6000000.0,9.989,18750246,7.0,16,2003,184.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt0075148,119,1000000.0,68.514,225250402,5.0,47,1976,56.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0093857,98,12000000.0,16.382,22642033,5.0,28,1987,113.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0169547,122,15000000.0,45.742,356296601,5.0,37,1999,166.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0377471,118,53000000.0,19.939,95226116,10.0,9,2005,195.3,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0181689,145,102000000.0,43.948,358372926,9.0,25,2002,179.9,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
tt1129437,97,500000.0,4.964,288512,0.0,40,2010,218.056,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0421239,85,26000000.0,28.032,57891803,3.0,33,2005,195.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tt1700845,111,18000000.0,12.915,3986888,6.0,52,2013,232.957,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1487118,96,8000000.0,15.059,5468650,4.0,5,2011,224.939,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0388482,87,32000000.0,37.206,89083229,4.0,31,2005,195.3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0120738,130,80000000.0,30.428,136159423,7.0,14,1998,163.0,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
tt0083972,95,4000000.0,26.596,36700000,0.0,32,1982,96.5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt2105044,116,17000000.0,21.514,100345,0.0,30,2012,229.594,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt1687277,92,20000000.0,4.965,17011,4.0,35,2011,224.939,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tt0779982,87,16000000.0,18.06,4947717,0.0,13,2007,207.342,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt0104139,95,24000000.0,9.83,8403433,1.0,43,1992,140.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt0120176,110,10000000.0,9.447,13835130,1.0,49,1997,160.5,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tt1486834,93,11000000.0,29.445,7847000,3.0,36,2013,232.957,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0092106,84,6000000.0,23.135,5849647,2.0,32,1986,109.6,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False
tt0264472,99,45000000.0,15.365,94935764,5.0,14,2002,179.9,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1675434,113,13000000.0,64.369,426588510,1.0,44,2011,224.939,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0387898,117,8731048.0,13.755,36000000,0.0,40,2005,195.3,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
tt1618442,106,90000000.0,40.085,146936910,6.0,43,2015,237.017,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
tt2926810,125,14000000.0,10.277,7171,0.0,40,2014,236.736,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
tt0293564,91,140000000.0,44.166,258097122,5.0,32,2007,207.342,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt1656190,94,30000000.0,32.621,40346186,3.0,16,2012,229.594,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0199314,105,24000000.0,6.957,802951,1.0,4,2000,172.2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0114069,127,50000000.0,25.633,189859560,6.0,10,1995,152.4,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
tt2710368,90,18000000.0,8.318,124561,0.0,37,2013,232.957,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0059418,125,3800000.0,13.892,14873,2.0,14,1965,31.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
tt0380268,118,18000000.0,7.097,163000,0.0,44,2006,201.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
tt0061512,127,3200000.0,27.267,16217773,2.0,44,1967,33.4,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
tt0156841,108,25000000.0,10.886,24362772,3.0,9,2000,172.2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt2933544,92,6000000.0,9.926,1020921,2.0,36,2014,236.736,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0372532,88,15000000.0,19.794,47175038,3.0,5,2005,195.3,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1379222,95,3906840.0,7.255,4300000,0.0,41,2009,214.537,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False
tt0438097,91,80000000.0,67.651,660998756,6.0,13,2006,201.6,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
tt3460252,188,44000000.0,52.563,155760117,9.0,52,2015,237.017,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
tt1781058,94,25000000.0,10.366,653951,4.0,12,2017,245.12,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0111280,117,38000000.0,15.403,120000000,6.0,46,1994,148.2,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
tt0948530,102,560000.0,4.911,1500000,0.0,5,2008,215.303,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0059243,160,12000000.0,17.533,25333333,2.0,26,1965,31.5,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
tt0081031,97,9000000.0,8.169,11000000,1.0,26,1980,82.4,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
